,SPY buy-and-hold,60/40 SPY/AGG,Equal-weight universe,Momentum Top-5,Volatility-targeted SPY,Risk parity inverse-vol,Defensive basket buy-and-hold,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2023-04-13,0.0,0.006569264890139981,0.007774163026272526,0.010601324893218633,0.0016698351746408102,0.006339721959920814,0.0,0.07500642060248536,0.007767177155119834,0.007033675121886816,0.07502269879682956,0.07500642060248536
2023-04-14,0.0,0.0011821868923085344,0.006299969757446455,0.40663905069036604,0.011427404314363954,0.00763797108643411,0.0,0.06965989802082959,0.0042877844417653,0.006702834716663577,0.0696806862518736,0.06965989802082959
2023-04-17,0.0,0.004137596015805212,0.009313787046282149,0.4053001629781163,0.020160136703541,0.022973252424002423,0.0,0.009026010266036274,0.011734974323395346,0.00476641733699807,0.009027479167031225,0.009026010266036274
2023-04-18,0.0,0.0003662361144849968,0.0044457899543837096,0.007978416110337117,0.005015169740440251,0.009756676372898291,0.0,0.007129840479760471,0.008573639504612977,0.1441630352089115,0.007131967842078708,0.007129840479760471
2023-04-19,0.0,0.0006461401286789181,0.005411741978766725,0.006050039011118558,0.025903642808358107,0.009015664184767605,0.0,0.07657538465125484,0.008291429478205234,0.0037204924969666724,0.07660405401169867,0.07657538465125484
2023-04-20,0.0,0.004802827279014876,0.006079398529483283,0.007288633093899793,0.011181597691573009,0.008744855789930719,0.0,0.01015257513600658,0.010368593566728646,0.003875648406966775,0.010154432845668247,0.01015257513600658
2023-04-21,0.0,0.0011945400021045605,0.0035524250277302258,0.0020887926257616984,0.00307667917712795,0.005058252562738794,0.0,0.002998121721016196,0.002824148728969418,0.002522152171057393,0.0029973596410270646,0.002998121721016196
2023-04-24,0.0,0.0013864950144001909,0.004735127769083504,0.004541701259438813,1.9636409816503608e-05,0.00730618360263474,0.0,0.0055849169621928554,0.007710013806695896,0.002623129347109159,0.005586336568817898,0.0055849169621928554
2023-04-25,0.0,0.010606583381374879,0.010698845174726981,0.006958629334014282,0.0100726025005069,0.015059179715332945,0.0,0.011955786725519238,0.007164927937354228,0.008468013591644147,0.0119602628996917,0.011955786725519238
2023-04-26,0.0,0.00026013101681365836,0.01242215248444864,0.42363967681896764,0.022689794950072728,0.012601785940235068,0.0,0.01240598314740115,0.01414214740159642,0.0073889946847208714,0.012405752087343605,0.01240598314740115
