Date,signal_crisis_score,signal_regime,return_regime_from_prior_signal,net_return_primary_full,gross_exposure_primary_full,turnover_primary_full
2025-03-14,0.4340284261543714,caution,caution,0.00957976506201308,0.7131436465251629,0.01134906817217345
2025-03-17,0.4245875466166079,caution,caution,0.0007968182433975013,0.7131436465251629,0.006324303893914121
2025-03-18,0.4379221541972613,caution,caution,-0.0026396390487546384,0.7131436465251629,0.008806510036616928
2025-03-19,0.3246310542153851,growth,caution,0.004516687963221466,0.7131436465251629,0.002554496317639475
2025-03-20,0.32819840791822186,growth,caution,0.0009279973894462668,0.7131436465251629,0.002230136152158587
2025-03-21,0.3277926961921628,growth,growth,-0.0031281544936293537,0.7131436465251629,0.005308447055171722
2025-03-24,0.3057553565700283,growth,growth,0.006052477782748866,0.7131436465251629,0.008394889762929595
2025-03-25,0.30274457685526424,growth,growth,0.0006701153852146646,0.7131436465251629,0.0028073882216225914
2025-03-26,0.31773408957083127,growth,growth,-0.008605291930987358,0.7131436465251629,0.01174271604579365
2025-03-27,0.32102867891600895,growth,growth,-0.0018809131876951213,0.7131436465251629,0.007609109417362639
2025-03-28,0.48282344678880396,caution,growth,-0.004697847114041198,0.7131436465251629,0.008205062046057868
2025-03-31,0.5201872756178428,caution,growth,0.0011713015696193096,0.7131436465251629,0.006277451468253577
2025-04-01,0.5151763967425935,caution,caution,0.0027846389233194824,0.7131436465251629,0.0038438837565239665
2025-04-02,0.47866018589230763,caution,caution,0.0005462158703706255,0.7131436465251629,0.0023191048263481264
2025-04-03,0.7373143240821766,panic,caution,-0.023866166371001807,0.7131436465251629,0.017975389015569575
2025-04-04,0.775,panic,caution,-0.018403322377897435,0.7131436465251629,0.6357097398998293
2025-04-07,0.775,panic,panic,-0.004332063954021748,0.8,0.009435267887160592
2025-04-08,0.775,panic,panic,-0.0006609788279005047,0.8,0.003791268068709941
2025-04-09,0.6113063436032145,caution,panic,0.011792593883669822,0.8,0.012747927454478558
2025-04-10,0.6206877171146253,caution,panic,-0.0031177556840983334,0.8,0.01713122099209502
2025-04-11,0.5933366917023939,caution,caution,0.0012028991939148082,0.8,0.010479200327598193
2025-04-14,0.5820344143085854,caution,caution,-0.0033518936092015172,0.8,0.0007428141340932171
2025-04-15,0.48532900365376297,caution,caution,0.0043100774954834,0.8,0.0008628783774740634
2025-04-16,0.7364027169754596,panic,caution,0.005566886583420194,0.8,0.01505592097213243
2025-04-17,0.6347661308295047,caution,caution,-0.0009525300478866461,0.8,0.0018742654836010897
2025-04-21,0.75,panic,panic,0.004503832302649169,0.8,0.014943341995336201
2025-04-22,0.7329332890444835,panic,caution,-0.0014923641969561974,0.8,0.007330840614227396
2025-04-23,0.6151072964061577,caution,panic,-0.0026086015927493378,0.8,0.012312609773414418
2025-04-24,0.49051728649167853,caution,panic,0.002173264102713013,0.8,0.0069881667619925425
2025-04-25,0.4818990103772357,caution,caution,-0.001976325459477568,0.8,0.004928876315693942
2025-04-28,0.4814409009548166,caution,caution,0.0011617186066135154,0.8,0.007608278900106513
2025-04-29,0.4738696358784403,caution,caution,-0.0012732973376545775,0.8,0.0048295469574400895
2025-04-30,0.4733897053074085,caution,caution,-0.000418007190974512,0.8,0.004159085940863727
2025-05-01,0.464814936791743,caution,caution,-0.0033228502001976246,0.8,0.009814907272653384
2025-05-02,0.4467269556716164,caution,caution,-0.0002021776776974793,0.8,0.0012094526374561432
2025-05-05,0.4538180207800644,caution,caution,0.008040738115611568,0.8,0.011476585787715599
2025-05-06,0.47141810330122386,caution,caution,0.0053014997838845,0.8,0.012560641187100874
2025-05-07,0.45896727305887586,caution,caution,-0.0008445742354180608,0.8,0.008328505598072744
2025-05-08,0.45043614684043576,caution,caution,-0.0020261505148451153,0.8,0.2981335500047148
2025-05-09,0.452007000143656,caution,caution,0.00019105045128053888,0.815,0.0030260049026345007
2025-05-12,0.3113148683312568,growth,caution,0.004860768991339359,0.8149999999999998,0.014795599556181677
2025-05-13,0.3029145343060448,growth,caution,-0.0024896953350522777,0.8149999999999998,0.23039758194790794
2025-05-14,0.3012782175569865,growth,growth,-0.0036353383380592907,0.7332205321738385,0.10990590362517383
2025-05-15,0.29501622139737393,growth,growth,0.0032877453303337134,0.7596528438632568,0.10625262421347624
2025-05-16,0.28685592000690213,growth,growth,0.0003809013139843831,0.7822656430750836,0.10140227804299248
2025-05-19,0.2854378147439712,growth,growth,0.001519441144147482,0.8031264727987721,0.09899789521044604
2025-05-20,0.2898015056727244,growth,growth,0.0004630780251049238,0.8186127873639452,0.08566473641283515
2025-05-21,0.44784988427163613,caution,growth,-0.00778865987363897,0.8344177892718049,0.07704157842409573
2025-05-22,0.4523193282992449,caution,growth,-0.00029112842419121154,0.8500096342598233,0.0029813271421220925
2025-05-23,0.5076578517441551,caution,caution,-0.0022188178657626123,0.8499999999999999,0.006917678277618987
2025-05-27,0.3070718829895239,growth,caution,0.010073305429578738,0.8499999999999999,0.010593603217936851
2025-05-28,0.3212050170880222,growth,caution,-0.0029485901346187893,0.8499999999999999,0.003099044859056995
2025-05-29,0.2959107537920477,growth,growth,0.0024118424041676967,0.8499999999999999,0.003458712606678565
2025-05-30,0.2973509496004878,growth,growth,-0.0012934672905181577,0.8499999999999999,0.06487527117096076
2025-06-02,0.29010686705485417,growth,growth,0.00653442117641001,0.8657668207575827,0.008576222489697777
2025-06-03,0.2827322617128889,growth,growth,0.0029643332289031044,0.8657668207575827,0.0049526063267130195
2025-06-04,0.2830812653922443,growth,growth,0.0017732557686931383,0.8657668207575827,0.060324626368182525
2025-06-05,0.28936521739891785,growth,growth,-0.002222865235723459,0.8820046774271465,0.06476852653947486
2025-06-06,0.2760774848782473,growth,growth,0.0060777299034020515,0.8933511116694633,0.045767406436866484
2025-06-09,0.27489927755160815,growth,growth,8.651978651075254e-05,0.9036770080143784,0.0582254308516909
2025-06-10,0.3674807605155209,caution,growth,0.002610048915693497,0.9133669825184889,0.003975282429608942
2025-06-11,0.37123372868001403,caution,growth,-0.0018664126882866894,0.9133669825184889,0.0631501707860319
2025-06-12,0.36601901295536454,caution,caution,0.002421158562840642,0.8500000000000001,0.004774071548144414
2025-06-13,0.5531973265721255,caution,caution,-0.007319702888891166,0.85,0.007207205374711077
2025-06-16,0.40244452919218043,caution,caution,0.0069683781910201414,0.85,0.006918354388734051
2025-06-17,0.5618910255107207,caution,caution,-0.004018740284090105,0.85,0.003615923584136451
2025-06-18,0.5298445982239287,caution,caution,-8.982072804120111e-05,0.85,0.0021731490281090703
2025-06-20,0.4261332115548609,caution,caution,-0.003133657610351226,0.85,0.0040099033874938786
2025-06-23,0.27000271956167027,growth,caution,0.008551999773531938,0.85,0.005331714204687924
2025-06-24,0.25549394560782435,growth,caution,0.006761183369691892,0.85,0.008187110817226811
2025-06-25,0.3547500060782681,caution,growth,6.845996554827316e-05,0.85,0.005508055421318129
2025-06-26,0.35,caution,growth,0.006594135013673341,0.85,0.004877663477679031
2025-06-27,0.1,growth,caution,0.002075072376069187,0.85,0.005341092261189433
2025-06-30,0.0,growth,caution,0.004040123210265145,0.85,0.0030258360600723703
2025-07-01,0.10043143962156585,growth,growth,-0.00261757959952047,0.85,0.008043041705560045
2025-07-02,0.1,growth,growth,0.0022557595450647394,0.85,0.00432441485624029
2025-07-03,0.1,growth,growth,0.005893892684077695,0.85,0.003978503438646782
2025-07-07,0.1369582348093134,growth,growth,-0.003652144545179592,0.85,0.0035054275347909196
2025-07-08,0.11209554652529648,growth,growth,-0.0012753225297146287,0.85,0.00375152879408967
2025-07-09,0.10272942681577536,growth,growth,0.006279506294786019,0.85,0.003436078568377778
2025-07-10,0.1,growth,growth,0.001462692597158366,0.85,0.1126456692724431
2025-07-11,0.10505340991675564,growth,growth,-0.0019802390429253247,0.8612114371569969,0.11770851587504019
2025-07-14,0.10215175724328021,growth,growth,0.0014686224945463788,0.8674609774865641,0.003224546661168769
2025-07-15,0.1180127603091499,growth,growth,-1.4043924171369682e-05,0.8674609774865641,0.011416091596795965
2025-07-16,0.12636998213663922,growth,growth,0.0008871838371844465,0.8674609774865641,0.11330340857263416
2025-07-17,0.11406845508202956,growth,growth,0.004691693917433959,0.8738508935352058,0.10132465426672103
2025-07-18,0.1011594815565334,growth,growth,-0.00039212816760114677,0.8837789259886444,0.09532092433061048
2025-07-21,0.1,growth,growth,0.0012535428971027773,0.8920360032523765,0.09503546262814908
2025-07-22,0.1,growth,growth,-0.008429129256738888,0.893541046511044,0.009473004356022803
2025-07-23,0.1,growth,growth,0.010062210439605979,0.893541046511044,0.007586242289340151
2025-07-24,0.1,growth,growth,0.004979752635903889,0.893541046511044,0.006699875508343864
2025-07-25,0.1,growth,growth,0.00013012101954879007,0.893541046511044,0.0034997609527683145
2025-07-28,0.10033467140707211,growth,growth,0.005674380267516321,0.893541046511044,0.007517759662409272
2025-07-29,0.10385065346427912,growth,growth,-0.007212487029797154,0.893541046511044,0.006197955913266737
2025-07-30,0.10767194523421261,growth,growth,0.0030509736873809423,0.893541046511044,0.01023472660871905
