,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2024-11-20,1.8885945618712363,1.8697336260882875,1.3601204958899598,1.9269192592379585,1.8885945618712363
2024-11-21,1.8976899502583788,1.8800622135802503,1.3648782154554067,1.9362049398030334,1.8976899502583788
2024-11-22,1.9000083499367233,1.863930915619404,1.3723254924939636,1.9385851443497888,1.9000083499367233
2024-11-25,1.8805770213463027,1.8542530982129786,1.3573375530876304,1.918782854529025,1.8805770213463027
2024-11-26,1.8822210971352138,1.8588705259295055,1.3586670943835042,1.9204663132608102,1.8822210971352138
2024-11-27,1.8765935448528392,1.8484785634505683,1.3560548147465386,1.9147315273882082,1.8765935448528392
2024-11-29,1.8877950179444758,1.872548255977369,1.3588789693478718,1.9261706525959625,1.8877950179444758
2024-12-02,1.893536954781885,1.9003462682521586,1.3577623403845378,1.9320433139185438,1.893536954781885
2024-12-03,1.8995527629581184,1.9235221175198467,1.3584456288233768,1.938188667804112,1.8995527629581184
2024-12-04,1.9085067662444015,1.9440651725901255,1.3595448244493102,1.9473345733513439,1.9085067662444015
2024-12-05,1.900616375127567,1.9361835397100806,1.3543509515585501,1.9392884995248663,1.900616375127567
2024-12-06,1.8998469242896836,1.9362435734238346,1.355589514281136,1.9385108615064468,1.8998469242896836
2024-12-09,1.897904047965229,1.914328069322631,1.3602996416505793,1.9365411613574546,1.897904047965229
2024-12-10,1.8990095122845194,1.9031231478425903,1.366620296868799,1.9376823219919384,1.8990095122845194
2024-12-11,1.9143616343549221,1.9346186043653908,1.371890822843522,1.953356805176491,1.9143616343549221
2024-12-12,1.9052884105458479,1.92372451941393,1.3672133737721928,1.9441091302062834,1.9052884105458479
2024-12-13,1.8959528643227619,1.9080516747797198,1.362384344695857,1.9345951130692818,1.8959528643227619
2024-12-16,1.8952775732503426,1.9056950779950015,1.3626944794023956,1.9339131923608264,1.8952775732503426
2024-12-17,1.8928769668111725,1.901934186445037,1.361529195872733,1.9314714644064885,1.8928769668111725
2024-12-18,1.8770310040674565,1.8642028825966968,1.3584078565440019,1.9153228385334367,1.8770310040674565
2024-12-19,1.8786763070943717,1.8642657108927827,1.3597857599162773,1.9170076750598124,1.8786763070943717
2024-12-20,1.8865587227358744,1.8731558722608543,1.3620395180978677,1.9250659001179569,1.8865587227358744
2024-12-23,1.8976036589269836,1.91020626470929,1.3616102318395,1.93635172738828,1.8976036589269836
2024-12-24,1.902129760557489,1.919844108259299,1.3635388596242024,1.9409733325685092,1.902129760557489
2024-12-26,1.9028750240614127,1.9137480013146042,1.365461222654435,1.9417396339328243,1.9028750240614127
2024-12-27,1.8930016664068543,1.8959916640354912,1.3619458731430487,1.9316709321461625,1.8930016664068543
2024-12-30,1.8872773730758883,1.8801607301687508,1.3610598379014611,1.9258374192418866,1.8872773730758883
2024-12-31,1.8857418835606181,1.8626590847097524,1.3654156520338065,1.9242816667284766,1.8857418835606181
2025-01-02,1.9025716686746326,1.890341461184039,1.3744587462653537,1.9414648025569647,1.9025716686746326
2025-01-03,1.9113685986500804,1.9266379235795947,1.3699633332111172,1.9504612964497579,1.9113685986500804
2025-01-06,1.9279817139552224,1.9912739270410615,1.3668149325838854,1.9674420170580729,1.9279817139552224
2025-01-07,1.915627834201989,1.9422264092348074,1.3706580522010416,1.954858236932273,1.915627834201989
